TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,Low_Fossil,7,HUMBOLDT,71,1,55.00,60.00,60.00,60.00
Arrow,1,Low_Fossil,7,HELMS,72,1,40.00,45.00,50.00,45.00
Arrow,1,Low_Fossil,7,HUNTERS_POINT_1-2,73,1,55.00,55.00,55.00,55.00
Arrow,1,Low_Fossil,7,HUNTERS_POINT_4,74,1,76.00,78.00,80.00,77.00
Arrow,1,Low_Fossil,7,DIABLO_CANYON_1,75,1,40.00,45.00,50.00,45.00
Becker,2,Big_Gas,2,EL_SEGUNDO_1-2,21,1,46.00,53.00,54.00,52.00
Becker,2,Big_Gas,2,EL_SEGUNDO_3-4,22,1,45.00,50.00,51.00,49.00
Becker,2,Big_Gas,2,LONG_BEACH,23,1,55.00,56.00,57.00,55.00
Becker,2,Big_Gas,2,NORTH_ISLAND,24,1,70.00,70.00,70.00,70.00
Becker,2,Big_Gas,2,ENCINA,25,1,45.00,51.00,52.00,50.00
Becker,2,Big_Gas,2,KEARNY,26,1,100.00,100.00,100.00,100.00
Becker,2,Big_Gas,2,SOUTH_BAY,27,1,45.00,52.00,53.00,51.00
Coase,3,Bay_Views,3,MORRO_BAY_1-2,31,1,44.00,44.50,45.50,45.00
Coase,3,Bay_Views,3,MORRO_BAY_3-4,32,1,55.00,54.00,53.50,53.00
Coase,3,Bay_Views,3,MOSS_LANDING_6,33,1,44.00,46.00,46.50,45.00
Coase,3,Bay_Views,3,MOSS_LANDING_7,34,1,45.00,47.00,47.50,46.00
Coase,3,Bay_Views,3,OAKLAND,35,1,61.17,61.17,61.17,61.17
Debreu,4,East_Bay,5,PITTSBURGH_1-4,51,1,40.94,41.00,50.94,42.00
Debreu,4,East_Bay,5,PITTSBURGH_5-6,52,1,38.50,40.50,46.61,38.00
Debreu,4,East_Bay,5,PITTSBURG_7,53,1,59.72,59.72,69.72,59.72
Debreu,4,East_Bay,5,CONTRA_COSTA_4-5,54,1,58.28,58.28,68.28,58.28
Debreu,4,East_Bay,5,CONTRA_COSTA_6-7,55,1,39.04,42.30,49.50,41.50
Debreu,4,East_Bay,5,POTRERO_HILL,56,1,69.83,69.83,79.83,69.83
Friedman,5,Old_Timers,6,BIG_CREEK,61,1,38.40,42.39,43.83,41.67
Friedman,5,Old_Timers,6,MOHAVE_1,62,1,39.06,42.67,43.83,42.39
Friedman,5,Old_Timers,6,MOHAVE_2,63,1,39.06,42.67,47.44,42.39
Friedman,5,Old_Timers,6,HIGHGROVE,64,1,50.01,50.01,50.51,50.01
Friedman,5,Old_Timers,6,SAN_BERNARDINO,65,1,54.44,54.44,54.94,54.44
Heckman,6,Beachfront,4,COOLWATER,41,1,42.39,42.39,42.39,42.39
Heckman,6,Beachfront,4,ETIWANDA_1-4,42,1,42.67,42.67,42.67,42.67
Heckman,6,Beachfront,4,ETIWANDA_5,43,1,62.89,62.89,62.89,62.89
Heckman,6,Beachfront,4,ELLWOOD,44,1,75.61,75.61,75.61,75.61
Heckman,6,Beachfront,4,MANDALAY_1-2,45,1,41.00,42.00,42.00,42.00
Heckman,6,Beachfront,4,MANDALAY_3,46,1,52.06,52.06,52.06,52.06
Heckman,6,Beachfront,4,ORMOND_BEACH_1,47,1,41.00,42.00,42.00,42.00
Heckman,6,Beachfront,4,ORMOND_BEACH_2,48,1,41.00,42.00,42.00,42.00
Krugman,7,Big_Coal,1,Four Corners,11,1,39.50,43.83,49.75,42.67
Krugman,7,Big_Coal,1,ALAMITOS_7,12,1,73.92,73.92,73.92,73.92
Krugman,7,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,1,40.50,43.83,49.75,42.67
Krugman,7,Big_Coal,1,HUNTINGTON_BEACH_5,14,1,66.70,66.70,66.70,66.70
Krugman,7,Big_Coal,1,REDONDO_5-6,15,1,42.00,43.83,49.75,42.67
Krugman,7,Big_Coal,1,REDONDO_7-8,16,1,41.94,43.83,49.75,42.67
